Name,Type,Visible,Description,Default Value
bitgen.diablo.checkHalfLatchMuxFix,boolean,False,Check fix for Half Latch PR issue,0
bitgen.enableDciMatchForPR,boolean,False,Enable DCI re-calibration after Partial Reconfiguration,1
bitgen.enableElfAnnotaton,boolean,False,Enable elf annotation,0
bitgen.enableTandemPR,boolean,False,Enable Partial Reconfiguration flow for Tandem designs,0
bitgen.EvalUnusedTiles,boolean,False,Force evaluation of unused tiles in regular evaluation,0
bitgen.fuji.disableSPI32Fix,boolean,False,Disable fix for SPI 32-bit addressing in Fuji,0
bitgen.getDRCRoutedSites,boolean,False,Grab routed site cache from DRC.,1
bitgen.integratePsPmcConfig,boolean,False,"Integrate eFSBL, PS and PMC config data into pdi",0
bitgen.maxThreads,integer,False,Maximum number of threads to allow for write_bitstream.,8
bitgen.noCheckImpl,boolean,False,Disable pre-bitstream check to make sure that design has been implemented,0
bitgen.oly.enableEfficientBcTallMfw,boolean,False,Enable efficient algorithm for Broadcast-Tall-Mfw for better compression,0
bitgen.oly.enableEfficientTallMfw,boolean,False,Enable efficient algorithm for Tall-Mfw for better compression,0
bitgen.oly.enableRSAForESRevisions,boolean,False,Enable RSA Authentication for es revisions,0
bitgen.oly.unusedLocalMuxFix,boolean,False,Enable fix for unusedLocalMux programming in Olympus,1
bitgen.runBootgen,boolean,False,Run bootgen to produced the PDI file,0
bitgen.verboseTiles,string,False,Name of tiles to enable verbose messaging,None
bitgen.warnUnsupportedDevice,boolean,False,Deprecate write_bitstream unsupported device ERROR to WARNING,0
bitgen.writeReport,boolean,False,Write BGN report file,0
bitgen.writeSemNpiDescriptor,boolean,False,Write Sem NPI descriptor data,0
bitstream.allowOptionsWriteable,boolean,False,Certain bitstrema -g options are readOnly. Allow these option to be writeable,0
bitstream.enableAbstractShell,boolean,False,Enable Partial bitstream generation for abstract shell design,0
bitstream.enableExpandedRoutingDRP,boolean,False,Enable Partial Reconfiguration flow to protect static DRP cells in expanded routing region for UltraScale and UltraScale+ devices,1
bitstream.enableMultipleStage2,boolean,False,Enable Tandem Configuration flow to use multiple Stage2 bitfiles for UltraScale+ devices,1
bitstream.enableOnePartialFile,boolean,False,Enable Partial Reconfiguration flow to generate one partial file for UltraScale+ devices,1
bitstream.enablePRBbBlanking,boolean,False,Enable Partial Reconfiguration flow to prepend blackbox blanking bitstream,1
bitstream.enableTandemPR,string,False,Enable creation of Partial Reconfiguration bitstreams for Tandem Configuration designs.,0
bitstream.limitTandemPROMPersist,boolean,False,Enable Tandem PROM configuration to persist single bank if possible.,1
bitstream.SHA3.OriginalPadding,boolean,False,Enable Original SHA-3 10*1 padding for UltraScale devices,1
board.enableSchemaV2,boolean,False,Allows board data model to work on board schema 2.0,1
boardStore.enableDebug,boolean,False,Enable debug XilinxBoardStore,0
boardStore.enableStore,boolean,False,Enable XilinxBoardStore,0
bplace.boltzmannConstant,float,False,Parameter is used in calculation for tuning of the block placer; ratio of tiles to moves per temp,1e-22
bplace.freezeTemp,float,False,Parameter is used as default final temperature Value should be >= 0 and <= 999,1
bplace.greedyPassesHigh,integer,False,Parameter is used in calculation for number of greedy passes Value should be >= 200 and <= 1000,400
bplace.greedyPassesLow,integer,False,Parameter is used in calculation for number of greedy passes Value should be >= 0 and <= 40,20
bplace.greedyPassesMedium,integer,False,Parameter is used in calculation for number of greedy passes Value should be >= 10 and <= 200,100
bplace.highToMediumRatio,float,False,Parameter is used in calculation for tuning of the block placer Value should be >= 1 and <= 4,2
bplace.ioEdgeWeight,integer,False,Parameter to influence IO edge connectivity Value should be >= 0 and <= 100,10
bplace.maxBlocksTimePrediction,integer,False,Parameter is used in calculation for tuning of the block placer; used to calculate number of time steps Value should be >= 11 and <= 1000,20
bplace.maxTilesTimePrediction,integer,False,Parameter is used in calculation for tuning of the block placer; used to calculate number of time steps Value should be >= 101 and <= 1000000,10000
bplace.mediumMaxTilesMaxBlocksTimePrediction,float,False,Parameter (in minutes) is used in calculation for tuning of the block placer; used to calculate number of time steps Value should be >= 15 and <= 300,8
bplace.mediumMinTilesMinBlocksTimePrediction,float,False,Parameter (in minutes) is used in calculation for tuning of the block placer; used to calculate number of time steps Value should be >= 0.1 and <= 15,0.12
bplace.minBlocksTimePrediction,integer,False,Parameter is used in calculation for tuning of the block placer; used to calculate number of time steps Value should be >= 1 and <= 10,2
bplace.minTilesTimePrediction,integer,False,Parameter is used in calculation for tuning of the block placer; used to calculate number of time steps Value should be >= 10 and <= 100,20
bplace.numTempStepsAtMedium,integer,False,Parameter is used to determine the number of temperature steps Value should be >= 1 and <= 10000,1000
bplace.ratioTilesToNumMovesPerBlock,float,False,Parameter is used in calculation for tuning of the block placer; ratio of tiles to moves per temp Value should be >= 0.1 and <= 10000,0.5
bplace.selectAllGrid,boolean,False,Select all gridded type after block placement is done,1
bplace.shapeCostAspectRatioThreshold,float,False,Parameter is used in calculation for tuning of the block placer; ratio of tiles to moves per temp Value should be >= 1 and <= 100,1.5
bplace.startingProbability,float,False,Parameter is used in calculation for tuning of the block placer Value should be >= 0.01 and <= 0.99,0.99
bplace.startingTemp,float,False,Parameter is used as default starting temperature Value should be >= 1000 and <= 3.40282e+38,20000
bplace.useOnlyBaseShapes,boolean,False,Parameter is used to restrict only aspect ratio of 1.0,0
cdc.skipDuplicateWaiversCheck,boolean,False,Do not check new waivers for being duplicates,0
cdc.useWaiverObjsIdCleanup,boolean,False,Enable Waiver cleanup to also use objId cleanup.,0
cg.allowRdiCustomizationOverride,boolean,False,Allows a testing flow with RDI Customization but no RDI Generation,0
cg.autoCatalogReload,boolean,False,Allow the IP Catalog to be automatically reloaded if the IP_REPO_PATHS setting changes,0
cg.disableSafeXIT,boolean,False,Disable Safe-XIT restrictions from XIT interpreters,0
cg.dumpGuiEventData,boolean,False,Dumps the VLNVs passed in the load-catalog guiEvent,0
cg.enableXPathEvaluation,boolean,False,Enable XPath evaluation in IP Packager,1
cg.ignoreUnreleasedCores,boolean,False,Disable the loading of any backbone unreleased IP,0
cg.makeCElaborationDirRelative,boolean,False,Set false to force the c_elaboration_dir generic in synthesis wrappers to an absolute path,1
cg.msgSeverityGenerationOldComponentContent,integer,False,"Set message severity when IP generation flow finds deprecated component content (0=off, 1=info, 2=warning, 3=error)",0
cg.msgSeverityPackagerOldComponentContent,integer,False,"Set message severity when when ipx::check_integrity command finds deprecated component content (0=off, 1=info, 2=warning, 3=error)",2
cg.perfLevel,integer,False,"Set threshold for performance reporting, value should be 0-3 (0 reports nothing, 3 is most verbose)",0
cg.perfMinSecs,float,False,"Set minimum number of secs to report, set to -1 to report all non-zero times",1
cg.setRemoteIndexDir,string,False,Set the location for the remote index files,None
cg.skipHiddenCheck,boolean,False,Allow commands to run on hidden IP,0
cg.updateXGuiInBatchMode,boolean,False,No XGUI elements are read or updated in batch mode in XSpice 2.0. Use this flag to test GUI updates in batch mode,0
cg.verboseIPTestMsgs,boolean,False,Report detailed CoreGen IP test messages,0
checkpoint.matchClosestPart,boolean,False,"Match to closest available part, when checkpoint part is not found (Debug license only).",0
checkpoint.renameRefsOnLoad,boolean,False,Rename all cell views when loading the checkpoint.,0
checkpoint.writeIncrFile,boolean,False,force checkpoints to write incremental data file,1
checkpoint.writeRdaFile,boolean,False,force checkpoints to write design analysis data file,1
chipscope.enableLtxSchemaValidation,boolean,False,Turn on schema validation for json ltx files.,0
chipscope.enableOrderingConstraints,boolean,False,Parameter to enable processing constraints in order in implementing debug cores.,1
chipscope.enablePRFlow,boolean,False,Enable & handle PR flow in debug stitcher flow.,1
chipscope.enablePRShell,boolean,False,enable debug core stitching for PR Shell designs,1
chipscope.enableStrictHierLtx,boolean,False,Turn on Strict Hierarchical Ltx Export without net renaming,0
chipscope.enableXVCFlow,boolean,False,Enable & handle XVC flow in debug stitcher flow.,1
chipscope.exportHierLtx,boolean,False,Turn on Hierarchical Ltx Export,1
chipscope.implDbgCoreEnhancementAndRuns,boolean,False,Use pb file for handling failures in implement_debug_core and future runs enhancement,1
chipscope.ltxFormat,string,False,Ltx file format,json
chipscope.maxJobs,integer,False,Parameter to set jobs for parallel implementation of all debug cores.,0
compiler.enablePerformanceTrace,boolean,False,Enables performance logging,0
compiler.enablePerformanceTraceCPP,boolean,False,Enables performance cpp logging,1
constraints.binaryConstraintsPerf,boolean,False,enable binary constraint performance measurement,0
constraints.binaryConstraintsPerfUseHDPL,boolean,False,enable binary constraint performance measurement,0
constraints.debugBinaryConstraints,integer,False,as the name implies,0
constraints.dontLoadMEResult,boolean,False,Don't load ME Compiler result in placeDB prior to calling placer.,0
constraints.dontLoadNOCResult,boolean,False,Don't load NOC Compiler result in placeDB prior to calling placer.,1
constraints.enableBinaryConstraints,boolean,False,enable writing/reading binary constraint data,1
constraints.enableNoSortWrite,boolean,False,enable use of no-sort xdc write in place of regular write,0
constraints.includeWaiverRefs,boolean,False,include waivers when collecting constraints for binary serialization.,1
constraints.limitTimingExceptionChecks,boolean,False,limit redundant checking/reporting of timing exception paths,0
constraints.readBinaryConstrsAnyway,boolean,False,Try reading binary constraint data even when binary timing data can't be read.,1
constraints.reloadAfterRetargeting,boolean,False,Automatically reload constraints when invalid primitives are retargeted by MLO,0
constraints.skipBConBuildVersionCheck,boolean,False,don't do the build version check before reading binary constraints,0
constraints.sortUsingMasterIndex,boolean,False,Sort constraints for write_xdc using a global index instead of file/line info.,1
constr.allowResetNetlistProperties,boolean,False,"Allow delete of netlist properties; You need to set this parameter before design is opened,setting the value after design is open has no effect.",0
constr.constraintConfigDebug,boolean,False,print debug info when reading from ConstraintsConfig.cfg,0
constr.constraintDesignPhaseDebug,boolean,False,print debug info when tracing design phase status changes,0
constr.disable.DiffTermMigration,boolean,False,If true to not migrate DIFF_TERM of netlist object to DIFF_TERM_ADV,0
constr.dumpConstrainsDatabaseForDebug,boolean,False,Dump constraints database at various stages of flow.,0
constr.dumpConstrainsDatabaseForDebugFileName,string,False,Dump constraints database at various stages of flow to this filename. Default to std::couto,None
constr.dumpInstanceTiming,boolean,False,Allow dumping out timing constraints for instance,1
constr.enable.ToolModifiedConstraintHandling,boolean,False,enable handling of tool modified constraints so that they don't impact user constraints.,1
constr.enableTwoPhaseConstrExtractionFromAttrs,boolean,False,Enable the extraction of constraints from netlist attributes in two phases,1
constr.evaluatePatternForReplicatedExtraObjects,boolean,False,Evaluate pattern for extra replicated objects,0
constr.exportWithWildcardPatternMapping,boolean,False,Parameter to control use of mapped wildecard patterns for constraint export,1
constr.multiTargetDebug,boolean,False,Enable debug messages from multi target file mechanism,0
constr.placementOnInternalInstancesAllowed,boolean,False,Allow placement on internal instances,0
constr.preservePatternForReplicatedObjects,boolean,True,"Preserve pattern for replicated objects in the way of ""[list <ORIG_PATTERN> extra stuff]""",0
constr.readByBatchCmds,boolean,False,Allow tcl batch flow commands to read constraints from IPs that are marked as used in that command,1
constr.setIPMsgConfigLog,string,False,Name of log file in which to put filtered IP Messages.,None
constr.useMultipleTargetFiles,boolean,False,Enable writing constraints to 'per category' target files,0
constr.writeAllUcfConstraints,boolean,False,Make write_ucf command to write both valid and invalid constraints by default,0
csv.newWriter,boolean,False,"If true, the new CSV writer will be used",1
deca.debugLevel,integer,False,Level of debug messages,0
deca.rqsStrategyForcePrediction,integer,False,Verbose parameter for rqs -strategy command; if set it forcefully runs prediction,1
designutils.ISPDHeader,boolean,False,Set false to skip ISPD error while reading checkpoint of default,0
device.evalarch.boundingBoxDelay,boolean,False,Used bounding box physical distance calculation,0
device.evalarch.disablePlanarCrossingsPct,float,False,Percent of planar crossings to disable.,0
device.evalarch.disablePlanarCrossingsSeed,integer,False,Seed value for random number generator for choosing muxes to disable.,0
device.evalarch.evalShapeBuilderName,string,False,Name used to direct factory creation of an evalarch shapebuilder object.,None
device.evalarch.interconnectBuilderTasks,string,False,Comma-separated list of tasks to run when building evalarch interconnect data.,None
device.evalarch.interconnectPreRouteModifierTasks,string,False,Comma-separated list of tasks to run before building router nodegraph data.,None
device.evalarch.numZMuxesPerInterconnectTile,integer,False,Number of layer crossing muxes per interconnect tile,0
device.evalarch.shapesBuildEnabled,boolean,False,Control whether shape builder is called on device load (link_design). Default=true.,1
device.evalarch.useEvalPowerFlow,boolean,False,Use the new power flow for eval devices,0
dirt.disableDriverAlignmentCheck,boolean,False,Disable the check for driver alignment when depositing directed routing.,0
dirt.disableErrors,boolean,False,Disable ERRORs when depositing directed routing.,0
dirt.disableLoadAlignmentCheck,boolean,False,Disable the check for load alignment when depositing directed routing.,1
dirt.disableRouteConstraintCreation,boolean,False,Disable route constraint creation when depositing fixed routing.,0
dirt.disableUndo,boolean,False,Disable undo when depositing fixed routing.,0
dlyest.estimateClockTree,boolean,False,Construct temporary clock trees as needed during initial placement for the purpose of generating more accurate clock tree estimations.,1
dlyest.fanoutCapForDelay,integer,False,"While using fanout to model delay estimator values dynamically, cap the fanout using this value",500
dlyest.inboxDelayPenalty,float,False,Set inbox delay estimation multiplication factor,-1
dlyest.reportBeldelays,boolean,False,enabling reporting of beldelays,0
dlyest.useFanoutToModelDelay,boolean,False,Use net fanout to model delay estimator values dynamically by adding an extra penalty value,1
dlyest.useRefactoredDlyMediator,boolean,False,Use simplified DlyMediator hierarchy,0
drc.checkPortDirection,boolean,False,Control Hierarchical Port Direction Check,1
drc.debugFeaturesRelevantToRuledeck,integer,False,"0=NONE, 1=ERROR, 2=WARN, 3=INFO, 4=TRACE, 5=VERBOSE",0
drc.debugFlags,integer,False,bit flag register -- turn on specific debug,0
drc.debugSpecialFlag,integer,False,set for debug,0
drc.debugSpecialName,string,False,name to use for debug,None
drc.defaultBehaviorAsMessages,boolean,False,Use ComMsgMgr to handle DRC violation reporting.,0
drc.disableLUTOverUtilError,boolean,False,Disable LUT over-utilization error,0
drc.disableRtlChecksOnIp,boolean,False,Disable RTL rule checks on IPs,1
drc.disableWaiverChangeCallback,integer,False,Enable Waiver design change callbacks.,0
drc.doMethodologyChecksToo,boolean,False,Do Methodology checks while running DRC.,0
drc.doNotBehaveAsMessages,boolean,False,Do not use ComMsgMgr to handle DRC violation reporting (for Mandatory DRCs).,0
drc.doRAMBE2ForREQP1839and1840,boolean,False,Do DRC on RAMB_E2 for REQP-1839 and REQP-1840.,0
drc.downgradeVioList,string,False,Space-separated list of abbrevs to downgrade severity to Critical Warning,None
drc.enableExperimental,boolean,False,Enable experimental rules,0
drc.enableReplicatedObjectsDRCs,boolean,False,Enable drcs for constraints coverage of replicated objects,1
drc.enableService,boolean,False,Enables DRC service,0
drc.errorWhenRuntimeExceeds,float,False,Report_drc will issue an error message when runtime exceeds limit (default 0 disables error),0
drc.extraWaiverCleanup,integer,False,Allow extra zero-id waiver cleanup step for opt (floorplan call).,0
drc.fatalVioList,string,False,Comma-separated list of abbrevs to convert to FATAL,None
drc.forceIOBFlops,boolean,False,"Do not look at the IOB property, consider all IO flops for DRC",0
drc.HARCArchitecturesInEffect,boolean,False,Use HARC ARCHITECTURES to restrict relevant Vio Specs.,1
drc.HARCFeaturesRequiredInEffect,boolean,False,Use HARC required FEATURES to restrict relevant Vio Specs.,1
drc.HDDebug,boolean,False,Enable HD DRC debug message,0
drc.hideDSARuledeck,boolean,False,Hides SDAccel ruledeck so that vivado users cannot see it by default.,1
drc.ignoreVioOverrides,boolean,False,"Ignore violation overrides (waivers, set_property) for mandatory bitstream run",0
drc.logRulesDRD,string,False,File from which to load logical DRD drc rules,None
drc.logRules,string,False,File from which to load logical drc rules,None
drc.LUTReadWriteTieOffCheck2734,integer,False,"Algorithm to use for PDCN-2734 check for LUT read/write pins Tied Off to different nets. (0=none,1,2,3=both)",2
drc.maxIOCount,integer,False,Max number of IOs to check,100000
drc.maxLimitREQP1839and1840,integer,False,"Limit the number of REQP-1839 and REQP-1840 violations checked, to improve performance.",20
drc.maxReportedNames,integer,False,Max number of names for each substitution in violation message,15
drc.maxThreads,integer,False,Maximum number of threads to allow for DRC.,0
drc.methodologyCheckSlackThreshold,float,False,"Preempt SYNTH-[6,11,12,13] report_methodology rules if slack threshold (in ps) is satisfied.",0
drc.newUTLZChecker,boolean,False,"Introducing new utilization checker, which relies on report_utilization.",1
drc.nonBufClkNetLoadLimit,integer,False,Non-buffered Clock Net Loads count Limit,512
drc.OracleFeaturesTurnedOn,boolean,False,Use new Oracle Features code in DRC.,1
drc.packRules,string,False,File from which to load package drc rules,None
drc.physRulesDRD,string,False,File from which to load physical DRD drc rules,None
drc.physRules,string,False,File from which to load physical drc rules,None
drc.reportCheckerThreshold,integer,False,"Threshold for wall time, over which the stats are reported. 0 means never.",0
drc.reportWriterShowAsTable,boolean,False,Write the DRC report as a table format. The drc.useReportWriter must have already been set to 1.,0
drc.ruleSeverityCfg,string,False,File overrides severity for each rule,None
drc.runAsFeasibility,boolean,False,Runs Feasibility Checks!,0
drc.runAsMethodology,boolean,False,Runs Methodology Checks!,0
drc.runImplRules,boolean,False,Run implementation rules even if in ISE flow,0
drc.scanGatedClockBufgOutputNets,boolean,False,Enable Waiver cleanup to also use objId cleanup.,0
drc.setDrcMaxMsgListObjLimit,integer,False,Set the maximum allowed number of objects to express in a DRC message list.,1000
drc.setThresholdXDCB,integer,False,Set the threshold value for XDCB-1,10000
drc.showExceptionDetail,boolean,False,"If exception caught, show detail",0
drc.showSeverity,string,False,lowest level of severity to include in report_drc results,None
drc.showSrcInfoXdcRules,boolean,False,show source information in drc results for all xdc rules,1
drc.skipDuplicateWaiversCheck,boolean,False,Do not check new waivers for being duplicates,0
drc.sortVios,boolean,False,"Sort violations by severity, abbrev, id, and text",1
drc.suppressVioList,string,False,Space-separated list of abbrevs to suppress,None
drc.timeChecker,boolean,False,Profile time and memory for each checker,0
drc.unleashNewChecks,boolean,False,Checks with DISPOSITION=NEW treated as if released.,0
drc.UseFaninAlgorithm,boolean,False,Use C++ version of the all_fanin TCL command instead of walkback algorithm for REQP-1839 and REQP-1840.,0
drc.useReportWriter,boolean,False,Write the DRC report using the common HCRRpt classes.,1
drc.useWaiverObjsIdCleanup,boolean,False,Enable Waiver cleanup to also use objId cleanup.,0
drc.waiverNoCmdContext,integer,False,Disable (control) waiver cmd output usage (cmd context).,0
drc.writePerfMetrics,boolean,False,Write DRC performance metrics to a json file,0
dsa.enableFullCheckpointInMinimalMode,boolean,False,Enables writing full checkpoint in addition to abstracted shell checkpoint as part of write_dsa -minimal,0
dsa.enablePRShellCheckpoint,boolean,False,Enables writing PR shell checkpoint as part of write_dsa,0
dsa.generateEmuXmlInWriteDsa,boolean,False,Generate the Emulation XML within write_dsa,1
dsa.includeMEContent,boolean,False,Include ME Archive and Xsim binary in DSA,0
dsa.populateDsaRomInWriteDsa,boolean,False,Call write_dsa_rom within write_dsa,1
dsa.useBaseFileNamesWhileWritingDCP,boolean,False,Write only the base file names into the xdc files while writing checkpoints,1
dsa.writeHDFData,boolean,False,Write HDF data as part of write_dsa,1
edifin.autoFunnelFilterName,string,False,Name of the HDConfig setting in HANXTranform.cfg to use for primitive filtering,MACRO_PRIMITIVES
edifin.cacheNgc2Edif,boolean,False,Parameter to allow result of ngc2edif to be reused,1
edifin.checkPrimsVsPart,boolean,False,turn on checking primitive cells vs. legal prims for the part.,1
edifin.edifCacheDir,string,False,Parameter to override PlanAhead projects local edif cache directory.,None
edifin.Ngc2EdifSaltIncludeExe,boolean,False,Consider path to ngc2edif to be considered when checking cached edf file validity,1
edifin.Ngc2EdifUseSalt,boolean,False,Ignore absolute location of ngc file in filesystem when filling/examining cache (regression only),1
edifin.readCore,boolean,False,Parameter to turn on reading core specified in ngo/ngo format,1
edifin.readCoreUltraScaleAndLater,boolean,False,Allow designs using UltraScale and later parts to use ngc,0
edifin.supportNgd2Edif,boolean,False,Parameter to allow reading netlist generated by the internal utility ngd2edif,0
edifout.separateFile,boolean,False,Write user cells in a separate file (only if it was read in from a separate file),0
edifout.suppressBusInferencing,boolean,False,Don't infer buses from scalar names if this is set true.,0
edifout.suppressUnjoinedNets,boolean,False,Parameter to filter nets which don't connect to any pin or terminal,0
edifout.writeFolded,boolean,False,Write folded netlist,1
edifout.writePrimContents,boolean,False,Write contents of hierarchical primitives created by funnel,0
elaboration.rodin.useDataFile,boolean,False,(Obsolete),1
est.noBestEffort,boolean,False,Estimator will return 0 values for unavailable data,0
export.escapeNameFormat,boolean,False,Escape the hierarchical separator when part of the name.,0
export.nameCompatibilityDebug,boolean,False,Dump rename tables,0
export.nameCompatibility,string,False,"Use Verilog, VHDL, EDIF name compatability mode in write_sdf etc",EDIF
export.whitelistPrimitiveParams,boolean,False,Write all bitstream configuration-related parameters to netlist irrespective of srcType,1
floorplan.filterRAM16X1DLocForExport,boolean,False,export UCF flow filters RAM16X1D/DP and RAM16X2S/O1 Loc,1
floorplan.saveFPDoNotMergeRange,boolean,False,do not merge area group range in save floorplan flow,1
floorplan.shapeConstrListener,boolean,False,Turn on/off constraint event listener for incremental shape update,1
floorplan.shapeDBundo,boolean,False,use shapedb undo feature,1
funnel.doNotTransform,string,False,Space-separated list of cell types not to transform,None
funnel.expandPseudoDiffBuffers,boolean,False,Enable transformation of blocks requiring pseudo differential buffer expansion.,1
funnel.expandToUserHierarchy,string,False,Space-separated list of macro cell types to convert to a user hierarchy,None
funnel.forceHierarchy,boolean,False,Force funnel to do all transformations under a level of hierarchy,0
funnel.prep.setAttrsToDefault,boolean,False,Enable setting of unset attributes to their default values,1
funnel.prep.TieOff,boolean,False,Enable constant tieoff of unused pins,1
funnel.transformBlocksWithPinInversions,boolean,False,Enable transformation of blocks requiring pin inversion settings.,1
general.displayMemoryStatistics,boolean,False,Displays memory statistics when fork fails,0
general.enableLowMemWarnings,boolean,False,Enable warnings when machine memory runs low,1
general.enablePerfCounterEvents,boolean,False,Enable Perf Counter event processing,0
general.enablePerfCountersReporting,boolean,False,Enable Perf Counters reporting in task stats,0
general.enablePerfInstrCountSciNotation,boolean,False,Enable Perf Counters IC reporting in scientific notation,1
general.ignorePathLengthChecks,boolean,False,Do not perform path length checks which are typically done on Windows.,0
general.legalFilePathCheckRelaxed,boolean,False,check for unsupported characters in file and directory names,0
general.lowMemPercentThreshold,integer,False,Percentage threshold at which low machine memory warnings are issued Value should be >= 0 and <= 100,3
general.maxBackupLogs,integer,False,Maximum number of log or journal files to keep (default: 5),5
general.maxThreads,integer,True,Maximum threads created for Vivado Value should be >= 1 and <= 32,8
general.timingDriven,coalescedboolean,False,"Force placer, router and the timer to timing driven mode.",1
gui.advancedTrigger,boolean,False,Enable prototype advanced trigger feature (default:false),0
gui.analyzeMemory,boolean,False,Analyze memory usage for GUI and engine (default:false),0
gui.animateIcons,boolean,False,Display animated icons for running jobs,1
gui.architectMode,boolean,False,Run in GUI architect mode (default:false),0
gui.assertExceptions,boolean,False,Assert on all exceptions,0
gui.autoRefreshSerialIO,boolean,False,Enable engine auto-refresh for serial I/O analyzer (default:true),1
gui.backgroundProgressbar,boolean,False,Automatically background progress bar (default:false),0
gui.bitConfig,boolean,False,Activate bitstream config ui for development & testing (default:false),0
gui.classicTclFind,boolean,False,Old GUI find (default:false),0
gui.convertIni2Xml,boolean,False,Enable the conversion of the init.ini file to xml.,0
gui.debugCodeEditor,boolean,False,Debug code editor (default:false),0
gui.debugDevice,boolean,False,Debug device view (default:false),0
gui.debugEditableCell,boolean,False,Debug editable cells (default:false),0
gui.debugGenericReport,boolean,False,Debug generic report (default:false),0
gui.debugHorzScrollBar,boolean,False,Debug horizontal scrollbar issue (default:false),0
gui.debugModuleData,boolean,False,Debug module data (default:false),0
gui.debugPackage,boolean,False,Debug package view (default:false),0
gui.debugPerformance,boolean,False,Debug GUI performance (default:false),0
gui.debugRegression,boolean,False,Debug GUI regression tests (default:false),0
gui.debugSdxMode,boolean,False,Run in SDx debug mode (default:false),0
gui.debugSerialIO,boolean,False,Debug serial I/O analyzer (default:false),0
gui.debugTclProperties,boolean,False,Debug Tcl properties (default:false),0
gui.debugWaveform,boolean,False,Debug waveform (default:false),0
gui.disableLoadSioScanPlots,boolean,False,When true don't automatically open serial I/O scan plots when the scan finishes. Default is false,0
gui.doClick,string,False,Instructs the GUI to execute a command handler or perform a GUI-specific operation,None
gui.dontCheckVersion,boolean,False,Don't check settings for XILINX and XILINX_EDK (default:false),0
gui.enableDeviceSpecificInExampleDesign,boolean,False,When true display device specific example designs. Default is false,0
gui.enableDPIScaling,boolean,False,Enable DPI scaling of Vivado GUI.,0
gui.enableFedEditing,boolean,False,Enable editing features in Fed,0
gui.enableGenericReport,boolean,False,Enable new generic report feature (default:false),0
gui.enableIEPhoneHome,boolean,False,Phone home when an IE occurs,0
gui.enableImprovedElfAssociationDialog,boolean,True,When true use the new improved elf association dialog box. Default is true,1
gui.enableIPIBoardConnection,boolean,False,PR789475 feature,1
gui.enableIPIPR749772,boolean,False,PR789475 feature,1
gui.enableIPIPR824234,boolean,False,PR824234 Board Schema 2.0,1
